,date,abfluss
545,2021-07-14 11:30:00,512.462
546,2021-07-14 11:35:00,512.248
547,2021-07-14 11:40:00,511.606
548,2021-07-14 11:45:00,511.392
549,2021-07-14 11:50:00,511.392
550,2021-07-14 11:55:00,510.964
551,2021-07-14 12:00:00,510.964
552,2021-07-14 12:05:00,510.964
553,2021-07-14 12:10:00,510.323
554,2021-07-14 12:15:00,510.536
555,2021-07-14 12:20:00,509.681
556,2021-07-14 12:25:00,509.254
557,2021-07-14 12:30:00,509.04
558,2021-07-14 12:35:00,509.04
559,2021-07-14 12:40:00,509.254
560,2021-07-14 12:45:00,509.254
561,2021-07-14 12:50:00,508.826
562,2021-07-14 12:55:00,509.04
563,2021-07-14 13:00:00,508.399
564,2021-07-14 13:05:00,507.758
565,2021-07-14 13:10:00,508.185
566,2021-07-14 13:15:00,507.331
567,2021-07-14 13:20:00,506.904
568,2021-07-14 13:25:00,506.69
569,2021-07-14 13:30:00,506.476
570,2021-07-14 13:35:00,506.049
571,2021-07-14 13:40:00,505.622
572,2021-07-14 13:45:00,506.049
573,2021-07-14 13:50:00,505.622
574,2021-07-14 13:55:00,505.409
575,2021-07-14 14:00:00,505.409
576,2021-07-14 14:05:00,505.196
577,2021-07-14 14:10:00,504.342
578,2021-07-14 14:15:00,504.342
579,2021-07-14 14:20:00,504.555
580,2021-07-14 14:25:00,504.555
581,2021-07-14 14:30:00,504.342
582,2021-07-14 14:35:00,503.702
583,2021-07-14 14:40:00,503.702
584,2021-07-14 14:45:00,502.848
585,2021-07-14 14:50:00,503.062
586,2021-07-14 14:55:00,502.635
587,2021-07-14 15:00:00,502.635
588,2021-07-14 15:05:00,502.635
589,2021-07-14 15:10:00,502.209
590,2021-07-14 15:15:00,502.422
591,2021-07-14 15:20:00,501.782
592,2021-07-14 15:25:00,501.356
593,2021-07-14 15:30:00,501.569
594,2021-07-14 15:35:00,501.143
595,2021-07-14 15:40:00,500.29
596,2021-07-14 15:45:00,500.29
597,2021-07-14 15:50:00,500.077
598,2021-07-14 15:55:00,500.077
599,2021-07-14 16:00:00,499.438
600,2021-07-14 16:05:00,499.438
601,2021-07-14 16:10:00,499.438
602,2021-07-14 16:15:00,499.225
603,2021-07-14 16:20:00,499.012
604,2021-07-14 16:25:00,498.799
605,2021-07-14 16:30:00,498.373
606,2021-07-14 16:35:00,497.947
607,2021-07-14 16:40:00,496.883
608,2021-07-14 16:45:00,496.457
609,2021-07-14 16:50:00,496.032
610,2021-07-14 16:55:00,495.393
611,2021-07-14 17:00:00,495.181
612,2021-07-14 17:05:00,495.181
613,2021-07-14 17:10:00,494.543
614,2021-07-14 17:15:00,494.543
615,2021-07-14 17:20:00,493.692
616,2021-07-14 17:25:00,493.48
617,2021-07-14 17:30:00,493.055
618,2021-07-14 17:35:00,492.842
619,2021-07-14 17:40:00,493.055
620,2021-07-14 17:45:00,493.267
621,2021-07-14 17:50:00,492.842
622,2021-07-14 17:55:00,492.417
623,2021-07-14 18:00:00,492.842
624,2021-07-14 18:05:00,492.205
625,2021-07-14 18:10:00,491.567
626,2021-07-14 18:15:00,491.355
627,2021-07-14 18:20:00,491.355
628,2021-07-14 18:25:00,490.718
629,2021-07-14 18:30:00,490.081
630,2021-07-14 18:35:00,489.869
631,2021-07-14 18:40:00,489.444
632,2021-07-14 18:45:00,490.081
633,2021-07-14 18:50:00,489.656
634,2021-07-14 18:55:00,489.02
635,2021-07-14 19:00:00,488.595
636,2021-07-14 19:05:00,488.595
637,2021-07-14 19:10:00,488.595
638,2021-07-14 19:15:00,488.807
639,2021-07-14 19:20:00,488.595
640,2021-07-14 19:25:00,488.171
641,2021-07-14 19:30:00,488.383
642,2021-07-14 19:35:00,488.383
643,2021-07-14 19:40:00,487.959
644,2021-07-14 19:45:00,487.959
645,2021-07-14 19:50:00,488.171
646,2021-07-14 19:55:00,487.535
647,2021-07-14 20:00:00,487.11
648,2021-07-14 20:05:00,486.898
649,2021-07-14 20:10:00,486.474
650,2021-07-14 20:15:00,486.263
651,2021-07-14 20:20:00,485.627
652,2021-07-14 20:25:00,484.991
653,2021-07-14 20:30:00,485.415
654,2021-07-14 20:35:00,484.991
655,2021-07-14 20:40:00,484.567
656,2021-07-14 20:45:00,484.567
657,2021-07-14 20:50:00,484.567
658,2021-07-14 20:55:00,484.779
659,2021-07-14 21:00:00,484.355
660,2021-07-14 21:05:00,483.932
661,2021-07-14 21:10:00,483.932
662,2021-07-14 21:15:00,483.508
663,2021-07-14 21:20:00,483.932
664,2021-07-14 21:25:00,483.932
665,2021-07-14 21:30:00,484.355
666,2021-07-14 21:35:00,484.355
667,2021-07-14 21:40:00,483.932
668,2021-07-14 21:45:00,483.932
669,2021-07-14 21:50:00,483.932
670,2021-07-14 21:55:00,483.932
671,2021-07-14 22:00:00,484.144
672,2021-07-14 22:05:00,484.144
673,2021-07-14 22:10:00,484.355
674,2021-07-14 22:15:00,484.567
675,2021-07-14 22:20:00,484.144
676,2021-07-14 22:25:00,484.355
677,2021-07-14 22:30:00,484.355
678,2021-07-14 22:35:00,484.567
679,2021-07-14 22:40:00,484.567
680,2021-07-14 22:45:00,484.779
681,2021-07-14 22:50:00,484.779
682,2021-07-14 22:55:00,485.415
683,2021-07-14 23:00:00,485.839
684,2021-07-14 23:05:00,485.839
685,2021-07-14 23:10:00,485.839
686,2021-07-14 23:15:00,485.839
687,2021-07-14 23:20:00,486.263
688,2021-07-14 23:25:00,486.898
689,2021-07-14 23:30:00,486.898
690,2021-07-14 23:35:00,486.898
691,2021-07-14 23:40:00,487.323
692,2021-07-14 23:45:00,487.535
693,2021-07-14 23:50:00,487.535
694,2021-07-14 23:55:00,487.747
695,2021-07-15 00:00:00,488.171
696,2021-07-15 00:05:00,488.383
697,2021-07-15 00:10:00,489.02
698,2021-07-15 00:15:00,489.232
699,2021-07-15 00:20:00,489.444
700,2021-07-15 00:25:00,489.656
701,2021-07-15 00:30:00,489.869
702,2021-07-15 00:35:00,489.869
703,2021-07-15 00:40:00,490.506
704,2021-07-15 00:45:00,490.718
705,2021-07-15 00:50:00,491.355
706,2021-07-15 00:55:00,491.567
707,2021-07-15 01:00:00,491.992
708,2021-07-15 01:05:00,492.205
709,2021-07-15 01:10:00,492.842
710,2021-07-15 01:15:00,493.267
711,2021-07-15 01:20:00,493.692
712,2021-07-15 01:25:00,494.118
713,2021-07-15 01:30:00,494.543
714,2021-07-15 01:35:00,495.181
715,2021-07-15 01:40:00,495.606
716,2021-07-15 01:45:00,496.457
717,2021-07-15 01:50:00,497.309
718,2021-07-15 01:55:00,497.947
719,2021-07-15 02:00:00,498.373
720,2021-07-15 02:05:00,499.651
721,2021-07-15 02:10:00,500.503
722,2021-07-15 02:15:00,501.143
723,2021-07-15 02:20:00,501.995
724,2021-07-15 02:25:00,503.062
725,2021-07-15 02:30:00,504.128
726,2021-07-15 02:35:00,505.196
727,2021-07-15 02:40:00,506.904
728,2021-07-15 02:45:00,508.185
729,2021-07-15 02:50:00,509.468
730,2021-07-15 02:55:00,510.323
731,2021-07-15 03:00:00,511.178
732,2021-07-15 03:05:00,512.248
733,2021-07-15 03:10:00,513.532
