Abfluss,gs1,gs2,gs3,gs4,gs5
832.301,720,940,1050,1150,2000
824.354,720,940,1050,1150,2000
810.058,720,940,1050,1150,2000
792.529,720,940,1050,1150,2000
772.966,720,940,1050,1150,2000
756.526,720,940,1050,1150,2000
740.241,720,940,1050,1150,2000
728.399,720,940,1050,1150,2000
719.482,720,940,1050,1150,2000
715.221,720,940,1050,1150,2000
713.448,720,940,1050,1150,2000
716.995,720,940,1050,1150,2000
730.187,720,940,1050,1150,2000
748.182,720,940,1050,1150,2000
767.469,720,940,1050,1150,2000
787.341,720,940,1050,1150,2000
805.193,720,940,1050,1150,2000
820.958,720,940,1050,1150,2000
832.301,720,940,1050,1150,2000
840.662,720,940,1050,1150,2000
842.187,720,940,1050,1150,2000
834.578,720,940,1050,1150,2000
819.451,720,940,1050,1150,2000
799.968,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
758.345,720,940,1050,1150,2000
740.601,720,940,1050,1150,2000
724.827,720,940,1050,1150,2000
711.677,720,940,1050,1150,2000
703.91,720,940,1050,1150,2000
699.337,720,940,1050,1150,2000
701.094,720,940,1050,1150,2000
713.803,720,940,1050,1150,2000
735.207,720,940,1050,1150,2000
758.708,720,940,1050,1150,2000
782.537,720,940,1050,1150,2000
803.698,720,940,1050,1150,2000
821.335,720,940,1050,1150,2000
834.578,720,940,1050,1150,2000
842.187,720,940,1050,1150,2000
843.331,720,940,1050,1150,2000
836.477,720,940,1050,1150,2000
820.958,720,940,1050,1150,2000
801.833,720,940,1050,1150,2000
782.906,720,940,1050,1150,2000
763.448,720,940,1050,1150,2000
746.013,720,940,1050,1150,2000
731.62,720,940,1050,1150,2000
719.127,720,940,1050,1150,2000
709.909,720,940,1050,1150,2000
704.614,720,940,1050,1150,2000
705.318,720,940,1050,1150,2000
716.285,720,940,1050,1150,2000
734.848,720,940,1050,1150,2000
756.526,720,940,1050,1150,2000
780.692,720,940,1050,1150,2000
804.82,720,940,1050,1150,2000
825.109,720,940,1050,1150,2000
841.806,720,940,1050,1150,2000
853.658,720,940,1050,1150,2000
860.572,720,940,1050,1150,2000
863.269,720,940,1050,1150,2000
862.113,720,940,1050,1150,2000
857.112,720,940,1050,1150,2000
847.149,720,940,1050,1150,2000
835.338,720,940,1050,1150,2000
821.335,720,940,1050,1150,2000
807.437,720,940,1050,1150,2000
793.644,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
763.083,720,940,1050,1150,2000
755.798,720,940,1050,1150,2000
750.356,720,940,1050,1150,2000
745.291,720,940,1050,1150,2000
740.961,720,940,1050,1150,2000
738.441,720,940,1050,1150,2000
736.643,720,940,1050,1150,2000
739.521,720,940,1050,1150,2000
748.544,720,940,1050,1150,2000
762.353,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
798.85,720,940,1050,1150,2000
817.568,720,940,1050,1150,2000
834.958,720,940,1050,1150,2000
849.061,720,940,1050,1150,2000
859.418,720,940,1050,1150,2000
868.285,720,940,1050,1150,2000
876.415,720,940,1050,1150,2000
879.91,720,940,1050,1150,2000
870.218,720,940,1050,1150,2000
848.296,720,940,1050,1150,2000
823.221,720,940,1050,1150,2000
801.46,720,940,1050,1150,2000
784.383,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
768.933,720,940,1050,1150,2000
769.299,720,940,1050,1150,2000
775.171,720,940,1050,1150,2000
786.601,720,940,1050,1150,2000
800.714,720,940,1050,1150,2000
812.684,720,940,1050,1150,2000
824.354,720,940,1050,1150,2000
834.578,720,940,1050,1150,2000
843.331,720,940,1050,1150,2000
850.975,720,940,1050,1150,2000
856.343,720,940,1050,1150,2000
860.187,720,940,1050,1150,2000
863.654,720,940,1050,1150,2000
865.197,720,940,1050,1150,2000
865.583,720,940,1050,1150,2000
864.039,720,940,1050,1150,2000
862.883,720,940,1050,1150,2000
858.65,720,940,1050,1150,2000
854.809,720,940,1050,1150,2000
850.592,720,940,1050,1150,2000
847.149,720,940,1050,1150,2000
842.568,720,940,1050,1150,2000
838.759,720,940,1050,1150,2000
836.097,720,940,1050,1150,2000
834.578,720,940,1050,1150,2000
833.818,720,940,1050,1150,2000
834.198,720,940,1050,1150,2000
835.338,720,940,1050,1150,2000
