Time,BAFU_2063_AbflussPneumatikoben
2021-07-14T01:10:00Z,775.171
2021-07-14T01:15:00Z,771.132
2021-07-14T01:20:00Z,767.469
2021-07-14T01:25:00Z,764.91
2021-07-14T01:30:00Z,763.083
2021-07-14T01:35:00Z,761.259
2021-07-14T01:40:00Z,760.53
2021-07-14T01:45:00Z,759.801
2021-07-14T01:50:00Z,760.166
2021-07-14T01:55:00Z,760.53
2021-07-14T02:00:00Z,761.989
2021-07-14T02:05:00Z,764.179
2021-07-14T02:10:00Z,766.005
2021-07-14T02:15:00Z,768.933
2021-07-14T02:20:00Z,771.499
2021-07-14T02:25:00Z,774.803
2021-07-14T02:30:00Z,778.113
2021-07-14T02:35:00Z,781.06
2021-07-14T02:40:00Z,782.537
2021-07-14T02:45:00Z,783.644
2021-07-14T02:50:00Z,784.013
2021-07-14T02:55:00Z,783.644
2021-07-14T03:00:00Z,782.906
2021-07-14T03:05:00Z,783.275
2021-07-14T03:10:00Z,782.537
2021-07-14T03:15:00Z,781.429
2021-07-14T03:20:00Z,781.799
2021-07-14T03:25:00Z,781.799
2021-07-14T03:30:00Z,781.799
2021-07-14T03:35:00Z,781.429
2021-07-14T03:40:00Z,781.429
2021-07-14T03:45:00Z,781.429
2021-07-14T03:50:00Z,781.429
2021-07-14T03:55:00Z,781.06
2021-07-14T04:00:00Z,781.429
2021-07-14T04:05:00Z,781.06
2021-07-14T04:10:00Z,781.429
2021-07-14T04:15:00Z,781.429
2021-07-14T04:20:00Z,781.799
2021-07-14T04:25:00Z,782.168
2021-07-14T04:30:00Z,781.429
2021-07-14T04:35:00Z,780.323
2021-07-14T04:40:00Z,779.587
2021-07-14T04:45:00Z,777.745
2021-07-14T04:50:00Z,776.641
2021-07-14T04:55:00Z,775.906
2021-07-14T05:00:00Z,775.538
2021-07-14T05:05:00Z,774.803
2021-07-14T05:10:00Z,774.435
2021-07-14T05:15:00Z,774.435
2021-07-14T05:20:00Z,774.803
2021-07-14T05:25:00Z,775.538
2021-07-14T05:30:00Z,775.171
2021-07-14T05:35:00Z,775.538
2021-07-14T05:40:00Z,775.906
2021-07-14T05:45:00Z,775.538
2021-07-14T05:50:00Z,774.803
2021-07-14T05:55:00Z,774.803
2021-07-14T06:00:00Z,774.068
2021-07-14T06:05:00Z,774.435
2021-07-14T06:10:00Z,774.435
2021-07-14T06:15:00Z,775.171
2021-07-14T06:20:00Z,775.906
2021-07-14T06:25:00Z,775.906
2021-07-14T06:30:00Z,775.906
2021-07-14T06:35:00Z,777.009
2021-07-14T06:40:00Z,777.376
2021-07-14T06:45:00Z,779.218
2021-07-14T06:50:00Z,779.587
2021-07-14T06:55:00Z,780.692
2021-07-14T07:00:00Z,781.429
2021-07-14T07:05:00Z,782.906
2021-07-14T07:10:00Z,782.906
2021-07-14T07:15:00Z,784.013
2021-07-14T07:20:00Z,784.013
2021-07-14T07:25:00Z,783.275
2021-07-14T07:30:00Z,783.275
2021-07-14T07:35:00Z,783.644
2021-07-14T07:40:00Z,783.644
2021-07-14T07:45:00Z,782.906
2021-07-14T07:50:00Z,781.799
2021-07-14T07:55:00Z,781.799
2021-07-14T08:00:00Z,781.06
2021-07-14T08:05:00Z,780.323
2021-07-14T08:10:00Z,780.323
2021-07-14T08:15:00Z,779.218
2021-07-14T08:20:00Z,778.85
2021-07-14T08:25:00Z,779.587
2021-07-14T08:30:00Z,779.218
2021-07-14T08:35:00Z,778.85
2021-07-14T08:40:00Z,778.85
2021-07-14T08:45:00Z,778.482
2021-07-14T08:50:00Z,779.218
2021-07-14T08:55:00Z,779.587
2021-07-14T09:00:00Z,779.587
2021-07-14T09:05:00Z,779.955
2021-07-14T09:10:00Z,780.692
2021-07-14T09:15:00Z,781.429
2021-07-14T09:20:00Z,783.275
2021-07-14T09:25:00Z,784.752
2021-07-14T09:30:00Z,785.492
2021-07-14T09:35:00Z,785.862
