Time,BAFU_2481_AbflussRadar
2021-07-16T03:05:00Z,113.828
2021-07-16T03:10:00Z,113.711
2021-07-16T03:15:00Z,114.53
2021-07-16T03:20:00Z,112.196
2021-07-16T03:25:00Z,112.196
2021-07-16T03:30:00Z,113.478
2021-07-16T03:35:00Z,112.08
2021-07-16T03:40:00Z,108.951
2021-07-16T03:45:00Z,113.362
2021-07-16T03:50:00Z,115.702
2021-07-16T03:55:00Z,112.196
2021-07-16T04:00:00Z,115.936
2021-07-16T04:05:00Z,110.223
2021-07-16T04:10:00Z,118.409
2021-07-16T04:15:00Z,115.35
2021-07-16T04:20:00Z,113.711
2021-07-16T04:25:00Z,115.819
2021-07-16T04:30:00Z,115.115
2021-07-16T04:35:00Z,109.182
2021-07-16T04:40:00Z,111.382
2021-07-16T04:45:00Z,111.15
2021-07-16T04:50:00Z,111.615
2021-07-16T04:55:00Z,113.828
2021-07-16T05:00:00Z,111.615
2021-07-16T05:05:00Z,110.571
2021-07-16T05:10:00Z,108.951
2021-07-16T05:15:00Z,106.305
2021-07-16T05:20:00Z,106.879
2021-07-16T05:25:00Z,110.918
2021-07-16T05:30:00Z,107.684
2021-07-16T05:35:00Z,107.224
2021-07-16T05:40:00Z,102.995
2021-07-16T05:45:00Z,101.18
2021-07-16T05:50:00Z,103.905
2021-07-16T05:55:00Z,99.938
2021-07-16T06:00:00Z,101.18
2021-07-16T06:05:00Z,103.222
2021-07-16T06:10:00Z,99.601
2021-07-16T06:15:00Z,102.54
2021-07-16T06:20:00Z,107.569
2021-07-16T06:25:00Z,105.503
2021-07-16T06:30:00Z,104.361
2021-07-16T06:35:00Z,105.847
2021-07-16T06:40:00Z,98.588
2021-07-16T06:45:00Z,101.067
2021-07-16T06:50:00Z,104.475
2021-07-16T06:55:00Z,107.913
2021-07-16T07:00:00Z,107.799
2021-07-16T07:05:00Z,109.876
2021-07-16T07:10:00Z,107.224
2021-07-16T07:15:00Z,109.066
2021-07-16T07:20:00Z,108.259
2021-07-16T07:25:00Z,102.881
2021-07-16T07:30:00Z,98.476
2021-07-16T07:35:00Z,96.126
2021-07-16T07:40:00Z,90.595
2021-07-16T07:45:00Z,92.244
2021-07-16T07:50:00Z,94.457
2021-07-16T07:55:00Z,92.576
2021-07-16T08:00:00Z,97.467
2021-07-16T08:05:00Z,93.349
2021-07-16T08:10:00Z,92.024
2021-07-16T08:15:00Z,93.571
2021-07-16T08:20:00Z,94.568
2021-07-16T08:25:00Z,94.679
2021-07-16T08:30:00Z,97.131
2021-07-16T08:35:00Z,95.68
2021-07-16T08:40:00Z,91.364
2021-07-16T08:45:00Z,89.827
2021-07-16T08:50:00Z,91.364
2021-07-16T08:55:00Z,87.754
2021-07-16T09:00:00Z,93.571
2021-07-16T09:05:00Z,96.461
2021-07-16T09:10:00Z,94.346
2021-07-16T09:15:00Z,87.645
2021-07-16T09:20:00Z,91.364
2021-07-16T09:25:00Z,89.827
2021-07-16T09:30:00Z,86.777
2021-07-16T09:35:00Z,92.465
2021-07-16T09:40:00Z,91.254
2021-07-16T09:45:00Z,84.078
2021-07-16T09:50:00Z,90.266
2021-07-16T09:55:00Z,85.911
2021-07-16T10:00:00Z,86.885
2021-07-16T10:05:00Z,89.609
2021-07-16T10:10:00Z,86.777
2021-07-16T10:15:00Z,90.595
2021-07-16T10:20:00Z,87.211
2021-07-16T10:25:00Z,86.994
2021-07-16T10:30:00Z,91.584
2021-07-16T10:35:00Z,92.576
2021-07-16T10:40:00Z,84.293
2021-07-16T10:45:00Z,83.112
2021-07-16T10:50:00Z,88.517
2021-07-16T10:55:00Z,86.127
2021-07-16T11:00:00Z,84.939
2021-07-16T11:05:00Z,79.384
2021-07-16T11:10:00Z,85.586
2021-07-16T11:15:00Z,81.829
2021-07-16T11:20:00Z,81.295
2021-07-16T11:25:00Z,78.645
2021-07-16T11:30:00Z,85.263
2021-07-16T11:35:00Z,79.49
2021-07-16T11:40:00Z,78.75
2021-07-16T11:45:00Z,84.508
2021-07-16T11:50:00Z,80.657
2021-07-16T11:55:00Z,81.189
2021-07-16T12:00:00Z,79.808
2021-07-16T12:05:00Z,79.914
2021-07-16T12:10:00Z,78.434
2021-07-16T12:15:00Z,76.018
2021-07-16T12:20:00Z,82.469
2021-07-16T12:25:00Z,79.173
2021-07-16T12:30:00Z,78.645
2021-07-16T12:35:00Z,85.802
2021-07-16T12:40:00Z,78.223
2021-07-16T12:45:00Z,85.802
2021-07-16T12:50:00Z,83.326
2021-07-16T12:55:00Z,82.576
2021-07-16T13:00:00Z,87.32
2021-07-16T13:05:00Z,82.898
2021-07-16T13:10:00Z,87.754
2021-07-16T13:15:00Z,86.452
2021-07-16T13:20:00Z,90.485
2021-07-16T13:25:00Z,80.657
2021-07-16T13:30:00Z,83.005
2021-07-16T13:35:00Z,87.645
2021-07-16T13:40:00Z,83.326
2021-07-16T13:45:00Z,81.935
2021-07-16T13:50:00Z,87.754
2021-07-16T13:55:00Z,82.469
2021-07-16T14:00:00Z,90.485
2021-07-16T14:05:00Z,85.694
2021-07-16T14:10:00Z,90.814
2021-07-16T14:15:00Z,89.499
2021-07-16T14:20:00Z,90.704
2021-07-16T14:25:00Z,81.615
2021-07-16T14:30:00Z,85.155
2021-07-16T14:35:00Z,82.791
2021-07-16T14:40:00Z,82.576
2021-07-16T14:45:00Z,84.185
2021-07-16T14:50:00Z,83.005
2021-07-16T14:55:00Z,84.4
2021-07-16T15:00:00Z,81.935
2021-07-16T15:05:00Z,77.696
2021-07-16T15:10:00Z,80.445
2021-07-16T15:15:00Z,83.112
2021-07-16T15:20:00Z,86.235
2021-07-16T15:25:00Z,85.047
2021-07-16T15:30:00Z,80.764
2021-07-16T15:35:00Z,77.065
2021-07-16T15:40:00Z,77.276
2021-07-16T15:45:00Z,78.962
