Time,BAFU_2091_AbflussPneumatikunten
2021-07-20T03:25:00Z,2639.088
2021-07-20T03:30:00Z,2637.448
2021-07-20T03:35:00Z,2633.35
2021-07-20T03:40:00Z,2633.35
2021-07-20T03:45:00Z,2620.243
2021-07-20T03:50:00Z,2606.328
2021-07-20T03:55:00Z,2614.512
2021-07-20T04:00:00Z,2606.328
2021-07-20T04:05:00Z,2613.694
2021-07-20T04:10:00Z,2619.424
2021-07-20T04:15:00Z,2630.892
2021-07-20T04:20:00Z,2638.268
2021-07-20T04:25:00Z,2644.007
2021-07-20T04:30:00Z,2646.467
2021-07-20T04:35:00Z,2648.927
2021-07-20T04:40:00Z,2640.727
2021-07-20T04:45:00Z,2652.208
2021-07-20T04:50:00Z,2648.107
2021-07-20T04:55:00Z,2650.567
2021-07-20T05:00:00Z,2651.388
2021-07-20T05:05:00Z,2648.107
2021-07-20T05:10:00Z,2662.055
2021-07-20T05:15:00Z,2662.876
2021-07-20T05:20:00Z,2663.697
2021-07-20T05:25:00Z,2670.264
2021-07-20T05:30:00Z,2687.515
2021-07-20T05:35:00Z,2694.09
2021-07-20T05:40:00Z,2689.98
2021-07-20T05:45:00Z,2665.338
2021-07-20T05:50:00Z,2664.517
2021-07-20T05:55:00Z,2675.191
2021-07-20T06:00:00Z,2666.98
2021-07-20T06:05:00Z,2679.298
2021-07-20T06:10:00Z,2676.834
2021-07-20T06:15:00Z,2680.941
2021-07-20T06:20:00Z,2687.515
2021-07-20T06:25:00Z,2688.336
2021-07-20T06:30:00Z,2695.734
2021-07-20T06:35:00Z,2694.09
2021-07-20T06:40:00Z,2697.378
2021-07-20T06:45:00Z,2695.734
2021-07-20T06:50:00Z,2696.556
2021-07-20T06:55:00Z,2697.378
2021-07-20T07:00:00Z,2685.871
2021-07-20T07:05:00Z,2656.31
2021-07-20T07:10:00Z,2657.131
2021-07-20T07:15:00Z,2646.467
2021-07-20T07:20:00Z,2639.088
2021-07-20T07:25:00Z,2617.787
2021-07-20T07:30:00Z,2607.965
2021-07-20T07:35:00Z,2600.601
2021-07-20T07:40:00Z,2590.79
2021-07-20T07:45:00Z,2605.51
2021-07-20T07:50:00Z,2603.874
2021-07-20T07:55:00Z,2607.965
2021-07-20T08:00:00Z,2606.328
2021-07-20T08:05:00Z,2585.068
2021-07-20T08:10:00Z,2583.434
2021-07-20T08:15:00Z,2577.716
2021-07-20T08:20:00Z,2585.885
2021-07-20T08:25:00Z,2596.513
2021-07-20T08:30:00Z,2597.33
2021-07-20T08:35:00Z,2586.703
2021-07-20T08:40:00Z,2589.972
2021-07-20T08:45:00Z,2606.328
2021-07-20T08:50:00Z,2610.419
2021-07-20T08:55:00Z,2616.968
2021-07-20T09:00:00Z,2624.338
2021-07-20T09:05:00Z,2620.243
2021-07-20T09:10:00Z,2634.169
2021-07-20T09:15:00Z,2646.467
2021-07-20T09:20:00Z,2662.876
2021-07-20T09:25:00Z,2669.443
2021-07-20T09:30:00Z,2662.876
2021-07-20T09:35:00Z,2641.547
2021-07-20T09:40:00Z,2629.253
2021-07-20T09:45:00Z,2622.7
2021-07-20T09:50:00Z,2620.243
2021-07-20T09:55:00Z,2620.243
2021-07-20T10:00:00Z,2620.243
2021-07-20T10:05:00Z,2621.881
2021-07-20T10:10:00Z,2621.062
2021-07-20T10:15:00Z,2616.149
2021-07-20T10:20:00Z,2607.965
2021-07-20T10:25:00Z,2598.966
2021-07-20T10:30:00Z,2580.983
2021-07-20T10:35:00Z,2580.167
2021-07-20T10:40:00Z,2586.703
2021-07-20T10:45:00Z,2601.419
2021-07-20T10:50:00Z,2607.965
2021-07-20T10:55:00Z,2614.512
2021-07-20T11:00:00Z,2610.419
2021-07-20T11:05:00Z,2605.51
2021-07-20T11:10:00Z,2597.33
2021-07-20T11:15:00Z,2598.148
2021-07-20T11:20:00Z,2591.607
2021-07-20T11:25:00Z,2606.328
2021-07-20T11:30:00Z,2614.512
2021-07-20T11:35:00Z,2609.601
2021-07-20T11:40:00Z,2616.968
2021-07-20T11:45:00Z,2614.512
2021-07-20T11:50:00Z,2610.419
2021-07-20T11:55:00Z,2611.238
2021-07-20T12:00:00Z,2603.874
2021-07-20T12:05:00Z,2591.607
2021-07-20T12:10:00Z,2584.251
2021-07-20T12:15:00Z,2579.35
2021-07-20T12:20:00Z,2578.533
2021-07-20T12:25:00Z,2578.533
2021-07-20T12:30:00Z,2579.35
2021-07-20T12:35:00Z,2579.35
2021-07-20T12:40:00Z,2581.8
2021-07-20T12:45:00Z,2579.35
2021-07-20T12:50:00Z,2579.35
2021-07-20T12:55:00Z,2580.983
2021-07-20T13:00:00Z,2579.35
2021-07-20T13:05:00Z,2581.8
2021-07-20T13:10:00Z,2580.983
2021-07-20T13:15:00Z,2583.434
2021-07-20T13:20:00Z,2580.983
2021-07-20T13:25:00Z,2572.816
2021-07-20T13:30:00Z,2549.157
2021-07-20T13:35:00Z,2544.266
2021-07-20T13:40:00Z,2530.419
2021-07-20T13:45:00Z,2532.862
2021-07-20T13:50:00Z,2542.636
2021-07-20T13:55:00Z,2554.864
2021-07-20T14:00:00Z,2563.021
2021-07-20T14:05:00Z,2555.68
2021-07-20T14:10:00Z,2544.266
2021-07-20T14:15:00Z,2550.787
2021-07-20T14:20:00Z,2552.417
2021-07-20T14:25:00Z,2558.126
2021-07-20T14:30:00Z,2545.081
2021-07-20T14:35:00Z,2567.918
2021-07-20T14:40:00Z,2606.328
2021-07-20T14:45:00Z,2630.892
2021-07-20T14:50:00Z,2645.647
2021-07-20T14:55:00Z,2648.107
2021-07-20T15:00:00Z,2648.107
2021-07-20T15:05:00Z,2645.647
2021-07-20T15:10:00Z,2639.088
2021-07-20T15:15:00Z,2636.629
2021-07-20T15:20:00Z,2635.809
2021-07-20T15:25:00Z,2628.434
2021-07-20T15:30:00Z,2598.148
2021-07-20T15:35:00Z,2594.059
2021-07-20T15:40:00Z,2589.155
2021-07-20T15:45:00Z,2582.617
2021-07-20T15:50:00Z,2565.47
2021-07-20T15:55:00Z,2543.451
2021-07-20T16:00:00Z,2542.636
2021-07-20T16:05:00Z,2558.126
2021-07-20T16:10:00Z,2546.711
2021-07-20T16:15:00Z,2566.286
2021-07-20T16:20:00Z,2572.816
2021-07-20T16:25:00Z,2577.716
2021-07-20T16:30:00Z,2580.983
2021-07-20T16:35:00Z,2588.337
2021-07-20T16:40:00Z,2599.784
