Time,BAFU_2243_AbflussRadarBruecke
2021-07-28T18:20:00Z,253.267
2021-07-28T18:25:00Z,253.706
2021-07-28T18:30:00Z,254.367
2021-07-28T18:35:00Z,253.926
2021-07-28T18:40:00Z,252.828
2021-07-28T18:45:00Z,253.926
2021-07-28T18:50:00Z,253.706
2021-07-28T18:55:00Z,254.367
2021-07-28T19:00:00Z,251.949
2021-07-28T19:05:00Z,252.828
2021-07-28T19:10:00Z,253.267
2021-07-28T19:15:00Z,251.949
2021-07-28T19:20:00Z,252.169
2021-07-28T19:25:00Z,251.949
2021-07-28T19:30:00Z,252.388
2021-07-28T19:35:00Z,254.367
2021-07-28T19:40:00Z,253.486
2021-07-28T19:45:00Z,251.51
2021-07-28T19:50:00Z,251.73
2021-07-28T19:55:00Z,253.047
2021-07-28T20:00:00Z,251.73
2021-07-28T20:05:00Z,252.169
2021-07-28T20:10:00Z,251.51
2021-07-28T20:15:00Z,252.388
2021-07-28T20:20:00Z,251.291
2021-07-28T20:25:00Z,249.978
2021-07-28T20:30:00Z,251.949
2021-07-28T20:35:00Z,252.169
2021-07-28T20:40:00Z,251.949
2021-07-28T20:45:00Z,250.416
2021-07-28T20:50:00Z,252.828
2021-07-28T20:55:00Z,250.416
2021-07-28T21:00:00Z,250.854
2021-07-28T21:05:00Z,252.828
2021-07-28T21:10:00Z,250.854
2021-07-28T21:15:00Z,249.322
2021-07-28T21:20:00Z,247.577
2021-07-28T21:25:00Z,249.322
2021-07-28T21:30:00Z,250.197
2021-07-28T21:35:00Z,250.197
2021-07-28T21:40:00Z,251.291
2021-07-28T21:45:00Z,250.197
2021-07-28T21:50:00Z,249.322
2021-07-28T21:55:00Z,248.45
2021-07-28T22:00:00Z,249.978
2021-07-28T22:05:00Z,247.795
2021-07-28T22:10:00Z,248.45
2021-07-28T22:15:00Z,248.45
2021-07-28T22:20:00Z,246.272
2021-07-28T22:25:00Z,245.838
2021-07-28T22:30:00Z,246.707
2021-07-28T22:35:00Z,244.969
2021-07-28T22:40:00Z,245.62
2021-07-28T22:45:00Z,246.924
2021-07-28T22:50:00Z,247.141
2021-07-28T22:55:00Z,248.232
2021-07-28T23:00:00Z,247.359
2021-07-28T23:05:00Z,246.924
