Time,BAFU_2473_AbflussPneumatikFluss
2021-07-19T02:15:00Z,501.229
2021-07-19T02:20:00Z,500.441
2021-07-19T02:25:00Z,499.129
2021-07-19T02:30:00Z,498.08
2021-07-19T02:35:00Z,497.031
2021-07-19T02:40:00Z,495.722
2021-07-19T02:45:00Z,493.891
2021-07-19T02:50:00Z,492.061
2021-07-19T02:55:00Z,490.495
2021-07-19T03:00:00Z,488.67
2021-07-19T03:05:00Z,487.106
2021-07-19T03:10:00Z,485.806
2021-07-19T03:15:00Z,483.726
2021-07-19T03:20:00Z,482.687
2021-07-19T03:25:00Z,481.13
2021-07-19T03:30:00Z,480.612
2021-07-19T03:35:00Z,479.575
2021-07-19T03:40:00Z,478.798
2021-07-19T03:45:00Z,478.022
2021-07-19T03:50:00Z,477.504
2021-07-19T03:55:00Z,476.986
2021-07-19T04:00:00Z,476.211
2021-07-19T04:05:00Z,475.177
2021-07-19T04:10:00Z,474.144
2021-07-19T04:15:00Z,473.37
2021-07-19T04:20:00Z,472.596
2021-07-19T04:25:00Z,470.792
2021-07-19T04:30:00Z,469.247
2021-07-19T04:35:00Z,468.475
2021-07-19T04:40:00Z,467.961
2021-07-19T04:45:00Z,466.933
2021-07-19T04:50:00Z,465.906
2021-07-19T04:55:00Z,464.366
2021-07-19T05:00:00Z,463.084
2021-07-19T05:05:00Z,463.084
2021-07-19T05:10:00Z,464.366
2021-07-19T05:15:00Z,465.392
2021-07-19T05:20:00Z,467.447
2021-07-19T05:25:00Z,468.989
2021-07-19T05:30:00Z,470.277
2021-07-19T05:35:00Z,471.307
2021-07-19T05:40:00Z,471.307
2021-07-19T05:45:00Z,470.792
2021-07-19T05:50:00Z,469.762
2021-07-19T05:55:00Z,469.247
2021-07-19T06:00:00Z,468.732
2021-07-19T06:05:00Z,468.732
2021-07-19T06:10:00Z,467.961
2021-07-19T06:15:00Z,466.933
2021-07-19T06:20:00Z,465.392
2021-07-19T06:25:00Z,464.366
2021-07-19T06:30:00Z,463.34
2021-07-19T06:35:00Z,461.547
2021-07-19T06:40:00Z,460.78
2021-07-19T06:45:00Z,460.012
2021-07-19T06:50:00Z,459.245
2021-07-19T06:55:00Z,459.245
2021-07-19T07:00:00Z,458.223
2021-07-19T07:05:00Z,456.947
2021-07-19T07:10:00Z,455.671
2021-07-19T07:15:00Z,454.652
2021-07-19T07:20:00Z,454.652
2021-07-19T07:25:00Z,454.907
2021-07-19T07:30:00Z,455.926
2021-07-19T07:35:00Z,456.691
2021-07-19T07:40:00Z,455.671
2021-07-19T07:45:00Z,452.361
2021-07-19T07:50:00Z,449.057
2021-07-19T07:55:00Z,447.535
2021-07-19T08:00:00Z,447.282
2021-07-19T08:05:00Z,448.803
2021-07-19T08:10:00Z,450.327
2021-07-19T08:15:00Z,452.361
2021-07-19T08:20:00Z,454.907
2021-07-19T08:25:00Z,456.691
2021-07-19T08:30:00Z,458.223
2021-07-19T08:35:00Z,460.268
2021-07-19T08:40:00Z,461.803
2021-07-19T08:45:00Z,462.828
2021-07-19T08:50:00Z,463.597
2021-07-19T08:55:00Z,465.136
2021-07-19T09:00:00Z,466.162
2021-07-19T09:05:00Z,466.933
2021-07-19T09:10:00Z,468.475
2021-07-19T09:15:00Z,469.247
2021-07-19T09:20:00Z,470.277
2021-07-19T09:25:00Z,471.307
2021-07-19T09:30:00Z,472.338
2021-07-19T09:35:00Z,472.854
2021-07-19T09:40:00Z,474.144
2021-07-19T09:45:00Z,474.144
2021-07-19T09:50:00Z,474.402
2021-07-19T09:55:00Z,475.177
2021-07-19T10:00:00Z,474.661
2021-07-19T10:05:00Z,474.919
2021-07-19T10:10:00Z,474.661
2021-07-19T10:15:00Z,474.661
2021-07-19T10:20:00Z,474.402
2021-07-19T10:25:00Z,474.144
2021-07-19T10:30:00Z,473.886
2021-07-19T10:35:00Z,474.402
2021-07-19T10:40:00Z,474.144
2021-07-19T10:45:00Z,474.661
2021-07-19T10:50:00Z,474.402
2021-07-19T10:55:00Z,475.177
2021-07-19T11:00:00Z,475.694
2021-07-19T11:05:00Z,475.952
2021-07-19T11:10:00Z,476.469
2021-07-19T11:15:00Z,476.728
2021-07-19T11:20:00Z,477.504
2021-07-19T11:25:00Z,478.28
2021-07-19T11:30:00Z,479.057
2021-07-19T11:35:00Z,479.834
2021-07-19T11:40:00Z,480.871
2021-07-19T11:45:00Z,481.649
2021-07-19T11:50:00Z,483.466
2021-07-19T11:55:00Z,485.025
2021-07-19T12:00:00Z,487.106
2021-07-19T12:05:00Z,489.191
2021-07-19T12:10:00Z,491.539
2021-07-19T12:15:00Z,494.414
2021-07-19T12:20:00Z,497.031
2021-07-19T12:25:00Z,499.916
2021-07-19T12:30:00Z,503.069
2021-07-19T12:35:00Z,506.228
2021-07-19T12:40:00Z,510.45
2021-07-19T12:45:00Z,513.623
2021-07-19T12:50:00Z,517.334
2021-07-19T12:55:00Z,520.787
2021-07-19T13:00:00Z,522.649
2021-07-19T13:05:00Z,524.513
2021-07-19T13:10:00Z,525.846
2021-07-19T13:15:00Z,526.379
2021-07-19T13:20:00Z,527.18
2021-07-19T13:25:00Z,527.18
2021-07-19T13:30:00Z,527.714
2021-07-19T13:35:00Z,527.714
2021-07-19T13:40:00Z,527.714
2021-07-19T13:45:00Z,527.447
2021-07-19T13:50:00Z,527.447
2021-07-19T13:55:00Z,526.646
2021-07-19T14:00:00Z,526.113
